episode,timestep,episode_reward,episode_length,action_std,termination_reason
0,23,-7.200000000000001,23,0.2,collision
1,1,128,1.88102518221998e+16,0.8243016501267751,-18.287948608398438,0.2,-0.1,-10.499999999999979
1,137,-16.299999999999976,114.0,0.2,collision
2,181,-9.3,44.0,0.2,collision
3,195,-6.3,14.0,0.2,collision
4,206,-6.0,11.0,0.2,collision
5,217,-6.0,11.0,0.2,collision
6,232,-6.4,15.0,0.2,collision
7,247,-6.4,15.0,0.2,collision
8,2,256,1.0665435075239776e+17,0.44383426290005445,-18.287948608398438,0.2,-0.1,-0.8999999999999999
8,274,-7.600000000000001,27.0,0.2,collision
9,286,-6.1,12.0,0.2,collision
10,333,-9.6,47.0,0.2,collision
11,346,-6.2,13.0,0.2,collision
12,357,-6.0,11.0,0.2,collision
13,374,-6.6000000000000005,17.0,0.2,collision
14,3,384,4.680924952323145e+19,0.4490664731711149,-18.287948608398438,0.2,-0.1,-0.9999999999999999
14,388,-6.3,14.0,0.2,collision
15,400,-6.1,12.0,0.2,collision
16,412,-6.1,12.0,0.2,collision
17,421,-5.8,9.0,0.2,collision
18,430,-5.8,9.0,0.2,collision
19,442,-1.2,12.0,0.2,collision
20,455,-6.2,13.0,0.2,collision
21,467,-6.1,12.0,0.2,collision
22,477,-5.9,10.0,0.2,collision
23,493,-6.5,16.0,0.2,collision
24,504,-6.0,11.0,0.2,collision
25,4,512,5.0529835974994176e+17,0.43994024271766347,-18.287948608398438,0.2,-0.1,-0.7999999999999999
25,521,-6.6000000000000005,17.0,0.2,collision
26,534,-1.3,13.0,0.2,collision
27,553,-6.800000000000001,19.0,0.2,collision
28,565,-6.1,12.0,0.2,collision
29,575,-5.9,10.0,0.2,collision
30,587,-6.1,12.0,0.2,collision
31,600,-6.2,13.0,0.2,collision
32,609,-5.8,9.0,0.2,collision
33,619,-5.9,10.0,0.2,collision
34,629,-5.9,10.0,0.2,collision
35,639,-5.9,10.0,0.2,collision
36,5,640,5.627123292869441e+19,0.4858546120425065,-18.287948608398438,0.2,-0.1,-0.1
36,649,-5.9,10.0,0.2,collision
37,662,-6.2,13.0,0.2,collision
38,678,-6.5,16.0,0.2,collision
39,688,-0.9999999999999999,10.0,0.2,collision
40,697,-5.8,9.0,0.2,collision
41,708,-6.0,11.0,0.2,collision
42,719,-6.0,11.0,0.2,collision
43,731,-6.1,12.0,0.2,collision
44,741,-5.9,10.0,0.2,collision
45,756,-6.4,15.0,0.2,collision
46,6,768,1.9545985163344564e+19,0.51550218090415,-18.287948608398438,0.2,-5.0,-6.1
46,768,-6.1,12.0,0.2,collision
47,781,-6.2,13.0,0.2,collision
48,789,-5.7,8.0,0.2,collision
49,801,-6.1,12.0,0.2,collision
50,814,-6.2,13.0,0.2,collision
51,828,-6.3,14.0,0.2,collision
52,838,-5.9,10.0,0.2,collision
53,848,-5.9,10.0,0.2,collision
54,859,-6.0,11.0,0.2,collision
55,869,-5.9,10.0,0.2,collision
56,882,-6.2,13.0,0.2,collision
57,893,-6.0,11.0,0.2,collision
0,11,-6.0,22.0,0.2,collision
0,22,-7.1000000000000005,25.0,0.2,collision
